PackagingApparaat,Herkomst,Risicokwalificatie,Koffieboon,Panel Test,Klantretourpercentage,Registratiedatum,FillingDatumTijdEind,PackagingDatumTijdEind,FillingApparaat,Cost,Voorraadniveaus,FillingDatumTijdStart,Benuttingsgraad,GrindingDatumTijdEind,Cyclustijd,GrindingDatumTijdStart,LeverancierLevertijd,Leveranciersbeoordeling,Roosterprofiel,Klanttevredenheid,Gewichtscontrole,FillingID,Duurzaamheid Score,PackagingDatumTijdStart,Audit van Leverancier,Batchnr,CO2-Footprint,Opmerkingen,ProcessTime,Fair-Trade Score,Defectpercentage,Energieverbruik,GrindingApparaat,PackagingID,Laatste Audit,GrindingID
Packager 1,Zambia,Hoog,Liberica,Voldoet,1.33%,2021-09-20,2023-08-15 20:55:47.293446,2023-08-15 22:31:31.409449,Filling Machine 5,428.69,300,2023-08-15 20:35:50.887546,75.71%,2023-08-15 20:01:52.164423,2.57,2023-08-15 19:52:39,12 dagen,4.0,Medium,3,0.91 kg,777,37,2023-08-15 21:54:12.024316,Afgekeurd,9972,1.00 kg CO2/kg,Geen,2.57 hours,57,1.17%,999999 kWh,Grinder 4,9015,2022-01-26,7446
Packager 4,India,Kritiek,Arabica,Voldoet gedeeltelijk,1.03%,2022-07-08,2020-08-06 16:50:09.006882,2020-08-06 18:31:46.236289,Filling Machine 5,512.77,200,2020-08-06 16:39:03.861956,72.36%,2020-08-06 15:56:08.236780,4.26,2020-08-06 15:28:57,19 dagen,2.0,Medium,onbekend,1.33 kg,8486,28,2020-08-06 18:04:14.595549,Herziening vereist,7344,8.32 kg CO2/kg,Geen,4.26 hours,65,2.22%,441.0 kWh,Grinder 1,6883,2022-11-05,1186
Packager 2,India,Matig,Arabica,Voldoet,1.06%,2022-12-23,2020-07-15 14:40:28.427630,2020-07-15 16:36:12.719674,Filling Machine 3,590.85,300,31-02-2025 25:61:61,79.13%,2020-07-15 13:48:30.289711,4.1,2020-07-15 13:30:32,19 dagen,5.0,Medium,8,1.13 kg,6640,64,2020-07-15 16:03:38.708262,Goedgekeurd,4833,3.01 kg CO2/kg,Geen,5.82 hours,32,2.78%,250.0 kWh,Grinder 4,2970,2023-05-27,1077
Packager 2,Brazilië,Zeer Hoog,Arabica,Voldoet gedeeltelijk,0.88%,2023-01-23,2020-10-28 12:24:44.278987,2020-10-28 13:51:01.296349,Filling Machine 1,540.1,100,2020-10-28 12:06:50.499875,77.17%,2020-10-28 11:46:28.607100,4.8,2020-10-28 11:38:06,17 dagen,2.0,Medium,2,1.02 kg,3362,45,2020-10-28 13:10:05.132291,Afgekeurd,6155,5.21 kg CO2/kg,Geen,4.80 hours,77,1.59%,267.0 kWh,Grinder 5,1600,2023-12-15,1686
Packager 1,Myanmar,Matig,Robusta,Voldoet,1.74%,2020-10-11,2022-03-25 15:42:04.750057,2022-03-25 17:27:43.328762,Filling Machine 5,482.82,500,2022-03-25 15:29:17.863389,67.34%,2022-03-25 14:52:50.786653,3.66,2022-03-25 14:33:40,15 dagen,6.0,Medium-Donker,onbekend,1.13 kg,9439,46,2022-03-25 16:51:39.145502,Goedgekeurd,5426,10.00 kg CO2/kg,Geen,3.66 hours,53,2.19%,276.0 kWh,Grinder 2,6817,2021-07-29,4650
Packager 5,Nicaragua,Zeer Hoog,Excelsa,Voldoet,1.01%,2021-07-12,2020-05-23 00:35:12.441245,2020-05-23 01:30:35.261616,Filling Machine 3,594.51,300,2020-05-23 00:23:15.083250,67.37%,2020-05-23 00:20:53.633189,5.89,2020-05-22 23:58:20,25 dagen,5.0,Medium,4,,42,71,2020-05-23 01:08:52.904597,Afgekeurd,4839,7.63 kg CO2/kg,Geen,5.89 hours,30,1.86%,261.0 kWh,Grinder 5,8549,2022-02-02,774
Packager 1,Dominicaanse Republiek,Kritiek,Arabica,Voldoet,0.46%,2023-04-28,2023-01-12 15:13:41.120825,2023-01-12 16:40:01.651707,Filling Machine 3,476.62,100,2023-01-12 15:00:29.875483,67.32%,2023-01-12 14:45:23.152003,3.53,2023-01-12 14:27:07,15 dagen,4.0,Licht,3,1.38 kg,4974,28,2023-01-12 16:09:29.246347,Afgekeurd,7918,,Geen,3.53 hours,46,4.59%,408.0 kWh,Grinder 1,828,2023-08-17,6289
Packager 2,Zambia,Zeer Hoog,Robusta,Voldoet,1.81%,2023-04-17,2023-03-06 21:22:45.255898,2023-03-06 23:07:02.609160,Filling Machine 1,463.31,500,2023-03-06 21:08:31.088627,66.36%,2023-03-06 20:36:10.358109,3.27,2023-03-06 20:20:37,17 dagen,1.0,Licht,7,1.24 kg,5745,37,2023-03-06 22:38:41.770829,Afgekeurd,7937,10.00 kg CO2/kg,Geen,3.27 hours,62,3.03%,113.0 kWh,Grinder 5,5652,2023-08-16,6585
Packager 3,El Salvador,Matig,Arabica,Voldoet gedeeltelijk,2.00%,2021-09-13,2021-06-18 22:10:10.327004,2021-06-18 23:21:59.162172,Filling Machine 3,512.49,500,2021-06-18 21:54:42.992100,79.60%,2021-06-18 21:22:41.062683,4.25,2021-06-18 21:04:52,6 dagen,7.0,Medium,4,1.12 kg,9394,43,31-02-2025 25:61:61,Goedgekeurd,9496,8.96 kg CO2/kg,Geen,4.25 hours,36,0.39%,326.0 kWh,Grinder 3,1681,2022-09-06,2996
Packager 5,Brazilië,Hoog,Arabica,Voldoet,1.25%,,2023-04-07 14:20:20.912559,2023-04-07 16:02:22.849495,Filling Machine 1,526.41,298,2023-04-07 13:57:56.491980,82.51%,2023-04-07 13:25:27.043996,4.53,2023-04-07 13:03:26,12 dagen,5.0,Medium,1,1.24 kg,2715,40,2023-04-07 15:34:55.987942,Afgekeurd,8382,4.39 kg CO2/kg,Geen,4.53 hours,54,0.05%,357.0 kWh,Grinder 4,2872,2022-04-20,6758
